Date,Artist_Title,Popularity
2024-02-25,LE SSERAFIM - EASY,78.0
2024-02-25,IU - Shopper,59.0
2024-02-25,Central Cee - I Will,54.0
2024-02-25,Kings of Leon - Mustang,53.0
2024-02-25,Khruangbin - May Ninth,53.0
2024-02-25,Nemzzz - PTSD,48.0
2024-02-25,Adrianne Lenker - Fool,48.0
2024-02-25,Glass Beams - Mahal - Edit,43.0
2024-02-25,Xavier Rudd - World Order - Part 1,39.0
2024-02-25,Real Estate - Flowers,34.0
2024-02-25,Hockey Dad - Base Camp,30.0
2024-02-25,Kasabian - Call,21.0
2024-02-25,aleksiah - 24,19.0
2024-02-25,Nick Ward - Gimme,16.0
2024-02-25,Erika de Casier - Test It,13.0
2024-02-25,BADASSMUTHA - Crocs,9.0
2024-02-25,KYE - NOW COME ON NOW,8.0
2024-02-25,JessB - Come Find Me,3.0
2024-02-25,Emma Donovan - Til My Song is Done,2.0
2024-02-25,Norah Jones - Staring at the Wall,0.0
2024-02-25,Mia Dyson - Dare,0.0
2024-02-25,Miles Nautu - Third Eye Chakra,0.0
2024-02-25,Catfish and the Bottlemen - Showtime,0.0
2024-02-25,Lady Shaka - E Tu,0.0
2024-02-25,Tora - Jigglypuff,0.0
2024-02-25,Mason Dane - FALLING,0.0
2024-02-25,SZA - Saturn,0.0
2024-02-25,"Novo Amor - Same Day, Same Face",0.0
2024-02-25,Jaguar Jonze - whiplash,0.0
2024-02-25,Donny Benét - Forbidden Love,0.0
2024-02-25,glaive - god is dead,0.0
2024-02-25,0800 - TRIPLE IT,0.0
2024-02-25,Merryn Jeann - THANK GOD! FOR ASTROLOGY!,0.0
2024-02-25,Last Dinosaurs - Keys To Your Civic,0.0
2024-02-25,Julia Pośnik - Every Single Person I Know,0.0
2024-02-25,ShockOne - Alone,0.0
2024-02-25,Lil Spacely - Win,0.0
2024-02-25,THE BLSSM - sway,0.0
2024-02-25,Charlotte Day Wilson - I Don't Love You,0.0
2024-02-25,mgk - dont let me go,0.0
2024-02-25,GROUPLOVE - Chances,0.0
2024-02-25,Allday - Access,0.0
2024-02-25,Bailey Zimmerman - Holy Smokes,0.0
2024-02-25,L.A.B. - Give Me That Feeling,0.0
2024-02-25,Justin Timberlake - Drown,0.0
2024-02-25,Jessie Murph - Son of a Bitch,0.0
2024-02-25,Bleachers - Me Before You,0.0
2024-02-25,Lil Durk - Old Days,0.0
2024-02-25,A.GIRL - Type Of Feeling,0.0
2024-02-25,Saweetie - Richtivities,0.0
2024-02-25,Logan - Wow,0.0
2024-02-25,Adekunle Gold - The Life I Chose,0.0
2024-02-25,YNG Martyr - SUPERBAD,0.0
2024-02-25,The Terrys - Tokyo,0.0
2024-02-25,thatboykwame - anecdote,0.0
2024-02-25,Stan Walker - Maori Ki Te Ao,0.0
2024-02-25,Hollow Coves - See You Soon,0.0
2024-02-25,Kaylee Bell - Where Were You,0.0
2024-02-25,CXLOE - No Service,0.0
2024-02-25,Selena Gomez - Love On,0.0
2024-02-25,LF SYSTEM - All I've Got,0.0
2024-02-25,Bugzy Malone - Ladies,0.0
2024-02-25,Husky - How to Forget,0.0
2024-02-26,LE SSERAFIM - EASY,78.0
2024-02-26,IU - Shopper,59.0
2024-02-26,Central Cee - I Will,54.0
2024-02-26,Khruangbin - May Ninth,53.0
2024-02-26,Kings of Leon - Mustang,53.0
2024-02-26,Saweetie - Richtivities,50.0
2024-02-26,Nemzzz - PTSD,48.0
2024-02-26,Adrianne Lenker - Fool,48.0
2024-02-26,Glass Beams - Mahal - Edit,43.0
2024-02-26,Xavier Rudd - World Order - Part 1,39.0
2024-02-26,Real Estate - Flowers,34.0
2024-02-26,Hockey Dad - Base Camp,30.0
2024-02-26,Kasabian - Call,21.0
2024-02-26,aleksiah - 24,19.0
2024-02-26,Nick Ward - Gimme,16.0
2024-02-26,Erika de Casier - Test It,13.0
2024-02-26,BADASSMUTHA - Crocs,9.0
2024-02-26,KYE - NOW COME ON NOW,8.0
2024-02-26,JessB - Come Find Me,3.0
2024-02-26,Emma Donovan - Til My Song is Done,2.0
2024-02-26,Mia Dyson - Dare,0.0
